"column"	"row"	"observed"	"expected-mean"	"expected-stdev"	"distribution"	"probability"	"N"	"left-p-value"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"
"thyroid gland"	"Basal transcription factors"	2	1.3853920642418516	1.1520551721362844	"BINOMIAL"	0.041981577704298535	33	0.8402649030865108	0.40596517808840576	1	1	1	1
"urinary bladder"	"Basal transcription factors"	0	2.2691725823344586	1.455241273617471	"BINOMIAL"	0.06674037006866054	34	0.09551780145301733	1	1	0.8331274904513178	1	1
"adrenal cortex"	"Base excision repair"	5	5.084246604324462	2.0794146589665345	"BINOMIAL"	0.1495366648330724	34	0.6003124507998295	0.5894434326474915	1	1	0.8732495298481355	1
"bones and joints"	"Base excision repair"	8	3.0391528858095302	1.65846730901777	"BINOMIAL"	0.09497352768154782	32	0.9976851967775372	0.008662802875182033	1	1	0.09652837489488551	1
"brain, nos"	"Base excision repair"	0	3.366479075868489	1.7415941582630914	"BINOMIAL"	0.09901409046672026	34	0.028867685836459777	1	1	0.30792198225557094	1	1
"breast"	"Base excision repair"	1	1.2227663161274784	1.0857214636371075	"BINOMIAL"	0.03596371518021996	34	0.6529668510941554	0.7121442342502214	1	1	1	1
"cervix uteri"	"Base excision repair"	6	2.0227647780645706	1.3792839692563503	"BINOMIAL"	0.05949308170778149	34	0.9965877807843465	0.014118186858791414	1	1	0.15059399316044175	1
"colon, nos"	"Base excision repair"	3	2.9578232433338925	1.6433222441368236	"BINOMIAL"	0.08699480127452625	34	0.6572770926261748	0.5772225849421957	1	1	1	1
"HR systems"	"Base excision repair"	0	1.601398019472414	1.2353024998104705	"BINOMIAL"	0.04709994174918865	34	0.19391438128247157	1	1	0.8385486758160933	1	1
"kidney"	"Base excision repair"	3	2.7737485719121566	1.596077639870617	"BINOMIAL"	0.08158084035035755	34	0.7001017496058192	0.5321853546609243	1	1	0.9901122877412546	1
"liver"	"Base excision repair"	1	3.318532258999478	1.7246410490117494	"BINOMIAL"	0.10370413309373369	32	0.14150542046453402	0.9699084471018755	1	0.9720807144954946	1	1
"lung"	"Base excision repair"	1	0.8257956448911222	0.8976294512439419	"BINOMIAL"	0.024288107202680067	34	0.8002926648709096	0.5665546468737285	1	1	1	1
"lymph nodes"	"Base excision repair"	2	2.741797072185765	1.5876698544543897	"BINOMIAL"	0.08064109035840485	34	0.4758765066394893	0.771636770003171	1	0.895767541909627	1	1
"mouth, nos"	"Base excision repair"	0	1.0183785860655739	0.9924333279544302	"BINOMIAL"	0.03285092213114754	31	0.3550553689900743	1	1	1	1	1
"ovary"	"Base excision repair"	1	2.668932609974508	1.5640756279928463	"BINOMIAL"	0.08340414406170338	32	0.2410281383234006	0.9383841475944025	1	1	1	1
"pancreas"	"Base excision repair"	1	0.8738361012796079	0.9227012439763499	"BINOMIAL"	0.02570106180234141	34	0.7826674388611206	0.5873937572981933	1	1	1	1
"prostate gland"	"Base excision repair"	1	1.4044610377177869	1.1603646039060997	"BINOMIAL"	0.04130767757993491	34	0.5873637453290399	0.7617162209557162	1	1	1	1
"skin"	"Base excision repair"	4	4.213853509922566	1.9213541328837396	"BINOMIAL"	0.12393686793889899	34	0.5845634646481601	0.6220494550149505	1	1	0.921554748170297	1
"stomach"	"Base excision repair"	1	1.4538739048273492	1.177152684460507	"BINOMIAL"	0.046899158220237075	31	0.5696880731618863	0.7744179980085543	1	1	1	1
"testis"	"Base excision repair"	1	3.1374855156431054	1.6849890446128182	"BINOMIAL"	0.09507531865585168	33	0.1652868311901974	0.962999268813282	1	0.7300168377567052	1	1
"thyroid gland"	"Base excision repair"	0	1.3853920642418516	1.1520551721362844	"BINOMIAL"	0.041981577704298535	33	0.2428496015298227	1	1	1	1	1
"urinary bladder"	"Base excision repair"	6	2.1356918421971374	1.4117914075019302	"BINOMIAL"	0.06674037006866054	32	0.9955008308986675	0.017791965863634036	1	1	0.12696993820866107	1
"adrenal cortex"	"B cell receptor signaling pathway"	16	11.21524986248043	3.0883909731080896	"BINOMIAL"	0.1495366648330724	75	0.9508928424497526	0.08691759419038073	1	1	0.30232206674915035	1
"bones and joints"	"B cell receptor signaling pathway"	10	6.743120465389895	2.4703648571031316	"BINOMIAL"	0.09497352768154782	71	0.9289227937555805	0.13370391738382936	1	1	0.5488897661020363	1
"brain, nos"	"B cell receptor signaling pathway"	6	7.426056785004019	2.5866527650000934	"BINOMIAL"	0.09901409046672026	75	0.37794796010499226	0.7645131047686758	1	0.9753495744644961	1	1
"breast"	"B cell receptor signaling pathway"	3	2.697278638516497	1.6125366593659811	"BINOMIAL"	0.03596371518021996	75	0.7159526577669229	0.5088397445667177	1	1	1	1
"cervix uteri"	"B cell receptor signaling pathway"	4	4.461981128083612	2.048541949839435	"BINOMIAL"	0.05949308170778149	75	0.536649609611966	0.6589214427362085	1	1	1	1
"colon, nos"	"B cell receptor signaling pathway"	2	6.524610095589469	2.4406972235264854	"BINOMIAL"	0.08699480127452625	75	0.03617993709368686	0.9911599597126921	1	0.8269699907128425	1	1
"HR systems"	"B cell receptor signaling pathway"	2	3.5324956311891484	1.8346976025304214	"BINOMIAL"	0.04709994174918865	75	0.3081411543856553	0.873728621961015	1	0.7703528859641383	1	1
"kidney"	"B cell receptor signaling pathway"	4	6.118563026276816	2.370528530276851	"BINOMIAL"	0.08158084035035755	75	0.2579265388408997	0.8700104709509242	1	1	1	1
"liver"	"B cell receptor signaling pathway"	5	7.777809982030027	2.6403065997106876	"BINOMIAL"	0.10370413309373369	75	0.1974563688705873	0.8997295472207745	1	0.9749408212985248	1	1
"lung"	"B cell receptor signaling pathway"	0	1.821608040201005	1.3331783934790344	"BINOMIAL"	0.024288107202680067	75	0.1581684623658473	1	1	1	1	1
"lymph nodes"	"B cell receptor signaling pathway"	3	6.048081776880363	2.358041108169222	"BINOMIAL"	0.08064109035840485	75	0.1359977144738867	0.9471901914444272	1	0.836909012146995	1	1
"mouth, nos"	"B cell receptor signaling pathway"	1	2.365266393442623	1.5124699042732122	"BINOMIAL"	0.03285092213114754	72	0.3110227157907255	0.9097335445226209	1	1	1	1
"ovary"	"B cell receptor signaling pathway"	6	5.9216942283809395	2.329764020210566	"BINOMIAL"	0.08340414406170338	71	0.6195407692022037	0.5482195423009966	1	1	0.9002341957784785	1
"pancreas"	"B cell receptor signaling pathway"	2	1.9275796351756056	1.3704155544370555	"BINOMIAL"	0.02570106180234141	75	0.6965421374404838	0.5774246105725883	1	1	1	1
"prostate gland"	"B cell receptor signaling pathway"	1	3.098075818495118	1.72339824227209	"BINOMIAL"	0.04130767757993491	75	0.17883175619580516	0.957738617117236	1	1	1	1
"skin"	"B cell receptor signaling pathway"	14	9.295265095417424	2.85363611079437	"BINOMIAL"	0.12393686793889899	75	0.9595244751248965	0.07580730887866666	1	1	0.1757850640664734	1
"stomach"	"B cell receptor signaling pathway"	3	3.4705377082975435	1.8187282400641385	"BINOMIAL"	0.046899158220237075	74	0.540564268687428	0.6802817327252196	1	1	1	1
"testis"	"B cell receptor signaling pathway"	14	6.940498261877173	2.5061181492497147	"BINOMIAL"	0.09507531865585168	73	0.9967257840977953	0.008297288135192303	1	1	0.054969533895649014	1
"thyroid gland"	"B cell receptor signaling pathway"	3	3.064655172413793	1.7134748650494476	"BINOMIAL"	0.041981577704298535	73	0.6324695953312605	0.5961476325215264	1	1	1	1
"urinary bladder"	"B cell receptor signaling pathway"	4	4.7385662748748985	2.102929529987839	"BINOMIAL"	0.06674037006866054	71	0.48280181090733243	0.7056601682810473	1	1	1	1
"adrenal cortex"	"beta-Alanine metabolism"	5	3.289806626327593	1.672680458270743	"BINOMIAL"	0.1495366648330724	22	0.9012203716596993	0.22420933339344978	1	1	0.5199057006224923	1
"bones and joints"	"beta-Alanine metabolism"	3	1.9944440813125042	1.3435120733163033	"BINOMIAL"	0.09497352768154782	21	0.8675262478176067	0.3215175517730906	1	1	0.8222416078131497	1
"brain, nos"	"beta-Alanine metabolism"	2	2.1783099902678456	1.4009377601545703	"BINOMIAL"	0.09901409046672026	22	0.6261970831634602	0.655230050419925	1	1	1	1
"breast"	"beta-Alanine metabolism"	1	0.7912017339648391	0.8733539833048404	"BINOMIAL"	0.03596371518021996	22	0.813386584489976	0.5532604851067858	1	1	1	1
"cervix uteri"	"beta-Alanine metabolism"	3	1.3088477975711927	1.1094955649335603	"BINOMIAL"	0.05949308170778149	22	0.9612582855818331	0.13985262326390552	1	1	0.77160068007672	1
"colon, nos"	"beta-Alanine metabolism"	0	1.9138856280395773	1.3218878652011683	"BINOMIAL"	0.08699480127452625	22	0.13502416799500866	1	1	0.9819939490546084	1	1
"HR systems"	"beta-Alanine metabolism"	2	1.0361987184821502	0.9936769189233777	"BINOMIAL"	0.04709994174918865	22	0.9174427738973571	0.2778111587522951	1	1	1	1
"kidney"	"beta-Alanine metabolism"	0	1.794778487707866	1.283884321283625	"BINOMIAL"	0.08158084035035755	22	0.1537802542220899	1	1	0.9112903953901623	1	1
"liver"	"beta-Alanine metabolism"	10	2.281490928062141	1.4299968144042277	"BINOMIAL"	0.10370413309373369	22	0.9999964767934597	2.8529192016339875E-5	1	1	3.219723098986929E-4	1
"lung"	"beta-Alanine metabolism"	1	0.5343383584589615	0.7220528312569698	"BINOMIAL"	0.024288107202680067	22	0.9010418646914061	0.4177960219825355	1	1	1	1
"lymph nodes"	"beta-Alanine metabolism"	3	1.7741039878849065	1.2771211014984731	"BINOMIAL"	0.08064109035840485	22	0.9037714562486994	0.2596866978709599	1	1	1	1
"mouth, nos"	"beta-Alanine metabolism"	0	0.6898693647540983	0.8168271053117038	"BINOMIAL"	0.03285092213114754	21	0.49586318261168605	1	1	1	1	1
"ovary"	"beta-Alanine metabolism"	1	1.7514870252957708	1.2670460722151338	"BINOMIAL"	0.08340414406170338	21	0.46747361595149606	0.839403647407143	1	1	1	1
"pancreas"	"beta-Alanine metabolism"	0	0.5397222978491696	0.7251557499710296	"BINOMIAL"	0.02570106180234141	21	0.5788110509167207	1	1	1	1	1
"prostate gland"	"beta-Alanine metabolism"	0	0.9087689067585679	0.9333969004467044	"BINOMIAL"	0.04130767757993491	22	0.3953151754908323	1	1	1	1	1
"skin"	"beta-Alanine metabolism"	3	2.726611094655778	1.5455366237966306	"BINOMIAL"	0.12393686793889899	22	0.712708859223341	0.5245896158388201	1	1	0.8070609474443386	1
"stomach"	"beta-Alanine metabolism"	3	0.9379831644047415	0.9455117892281434	"BINOMIAL"	0.046899158220237075	20	0.9871869256840519	0.0647840054115733	1	1	0.5150328430220077	1
"testis"	"beta-Alanine metabolism"	2	1.9965816917728854	1.3441562599657597	"BINOMIAL"	0.09507531865585168	21	0.6778745707342764	0.6065657181930253	1	1	1	1
"thyroid gland"	"beta-Alanine metabolism"	0	0.8816131317902692	0.9190221007097087	"BINOMIAL"	0.041981577704298535	21	0.4063039735919224	1	1	1	1	1
"urinary bladder"	"beta-Alanine metabolism"	1	1.4015477714418714	1.1436817540325344	"BINOMIAL"	0.06674037006866054	21	0.586544085659398	0.7655490058841876	1	1	1	1
"adrenal cortex"	"Biosynthesis of unsaturated fatty acids"	4	3.289806626327593	1.672680458270743	"BINOMIAL"	0.1495366648330724	22	0.7757906666065504	0.42236468473150235	1	1	0.750870550633782	1
"bones and joints"	"Biosynthesis of unsaturated fatty acids"	4	1.9944440813125042	1.3435120733163033	"BINOMIAL"	0.09497352768154782	21	0.9567984479926586	0.13247375218239368	1	1	0.5585379821744165	1
"brain, nos"	"Biosynthesis of unsaturated fatty acids"	1	2.1783099902678456	1.4009377601545703	"BINOMIAL"	0.09901409046672026	22	0.3447699495800752	0.8991221120964021	1	0.9349693547934241	1	1
"breast"	"Biosynthesis of unsaturated fatty acids"	1	0.7912017339648391	0.8733539833048404	"BINOMIAL"	0.03596371518021996	22	0.813386584489976	0.5532604851067858	1	1	1	1
"cervix uteri"	"Biosynthesis of unsaturated fatty acids"	3	1.3088477975711927	1.1094955649335603	"BINOMIAL"	0.05949308170778149	22	0.9612582855818331	0.13985262326390552	1	1	0.745880657407496	1
"colon, nos"	"Biosynthesis of unsaturated fatty acids"	5	1.9138856280395773	1.3218878652011683	"BINOMIAL"	0.08699480127452625	22	0.9904755301276349	0.03745174674967285	1	1	0.23969117919790628	1
"HR systems"	"Biosynthesis of unsaturated fatty acids"	0	1.0361987184821502	0.9936769189233777	"BINOMIAL"	0.04709994174918865	22	0.34597265703583113	1	1	0.7688281267462914	1	1
"kidney"	"Biosynthesis of unsaturated fatty acids"	3	1.794778487707866	1.283884321283625	"BINOMIAL"	0.08158084035035755	22	0.900570661584624	0.26541211052110786	1	1	0.7321713393685734	1
"liver"	"Biosynthesis of unsaturated fatty acids"	7	2.074082661874674	1.3634484652748036	"BINOMIAL"	0.10370413309373369	20	0.9994672542729257	0.0029418430262501787	1	1	0.013280319947072235	1
"lung"	"Biosynthesis of unsaturated fatty acids"	0	0.5343383584589615	0.7220528312569698	"BINOMIAL"	0.024288107202680067	22	0.5822039780174645	1	1	0.9805540682399402	1	1
"lymph nodes"	"Biosynthesis of unsaturated fatty acids"	2	1.7741039878849065	1.2771211014984731	"BINOMIAL"	0.08064109035840485	22	0.7403133021290402	0.5392154895990624	1	1	1	1
"mouth, nos"	"Biosynthesis of unsaturated fatty acids"	1	0.6570184426229508	0.7971416316600309	"BINOMIAL"	0.03285092213114754	20	0.8610053316230302	0.48729395089292926	1	1	1	1
"ovary"	"Biosynthesis of unsaturated fatty acids"	2	1.7514870252957708	1.2670460722151338	"BINOMIAL"	0.08340414406170338	21	0.7467115736250491	0.5325263840485039	1	1	0.9129023726545783	1
"pancreas"	"Biosynthesis of unsaturated fatty acids"	0	0.5397222978491696	0.7251557499710296	"BINOMIAL"	0.02570106180234141	21	0.5788110509167207	1	1	1	1	1
"prostate gland"	"Biosynthesis of unsaturated fatty acids"	1	0.9087689067585679	0.9333969004467044	"BINOMIAL"	0.04130767757993491	22	0.7700445140433783	0.6046848245091677	1	1	1	1
"skin"	"Biosynthesis of unsaturated fatty acids"	2	2.726611094655778	1.5455366237966306	"BINOMIAL"	0.12393686793889899	22	0.47541038416117964	0.7761956739313602	1	1	1	1
"stomach"	"Biosynthesis of unsaturated fatty acids"	2	0.9848823226249785	0.9688612752855154	"BINOMIAL"	0.046899158220237075	21	0.9269604048925404	0.25847284058429243	1	1	0.8744081202745213	1
"testis"	"Biosynthesis of unsaturated fatty acids"	1	2.091657010428737	1.3757877938270417	"BINOMIAL"	0.09507531865585168	22	0.3676945780250773	0.8889615124577313	1	0.9584170148522507	1	1
"thyroid gland"	"Biosynthesis of unsaturated fatty acids"	2	0.8816131317902692	0.9190221007097087	"BINOMIAL"	0.041981577704298535	21	0.9440514233237997	0.21979620331402536	1	1	1	1
"urinary bladder"	"Biosynthesis of unsaturated fatty acids"	2	1.4015477714418714	1.1436817540325344	"BINOMIAL"	0.06674037006866054	21	0.8383370752475847	0.4134559143406024	1	1	1	1
"adrenal cortex"	"Bladder cancer"	12	6.280539922989041	2.311140179555169	"BINOMIAL"	0.1495366648330724	42	0.9933353518783428	0.01738777180738661	1	1	0.10700167266084068	1
"bones and joints"	"Bladder cancer"	7	3.9888881626250083	1.9000129952959122	"BINOMIAL"	0.09497352768154782	42	0.9582334090582558	0.09896420470361526	1	1	0.4824504979301244	1
"brain, nos"	"Bladder cancer"	15	4.158591799602251	1.9356736850363678	"BINOMIAL"	0.09901409046672026	42	0.9999988685297899	6.22521082842405E-6	1	1	1.4229053322112114E-4	1
"breast"	"Bladder cancer"	11	1.510476037569238	1.2067119405920996	"BINOMIAL"	0.03596371518021996	42	0.9999999811387217	1.9788293226591352E-7	1	1	1.0553756387515386E-5	1
"cervix uteri"	"Bladder cancer"	8	2.4987094317268226	1.532988423746603	"BINOMIAL"	0.05949308170778149	42	0.9993100140200876	0.0029916007065261805	1	1	0.05318401256046543	1
"colon, nos"	"Bladder cancer"	11	3.6537816535301024	1.8264505590573048	"BINOMIAL"	0.08699480127452625	42	0.9998276383853307	7.226594399445835E-4	1	1	0.011562551039113337	1
"HR systems"	"Bladder cancer"	3	1.9781975534659233	1.3729619674008784	"BINOMIAL"	0.04709994174918865	42	0.8655214248588561	0.31722537662033873	1	0.9752354082916688	1	1
"kidney"	"Bladder cancer"	11	3.426395294715017	1.773941117173751	"BINOMIAL"	0.08158084035035755	42	0.9999064828291009	4.1953371575421754E-4	1	1	0.004195337157542176	1
"liver"	"Bladder cancer"	3	4.355573589936815	1.9758245384310966	"BINOMIAL"	0.10370413309373369	42	0.35408092691233645	0.8249526304164845	1	1	1	1
"lung"	"Bladder cancer"	0	1.020100502512563	0.9976593567696491	"BINOMIAL"	0.024288107202680067	42	0.3560468434664795	1	1	0.9655507619429953	1	1
"lymph nodes"	"Bladder cancer"	7	3.3869257950530036	1.764596386139596	"BINOMIAL"	0.08064109035840485	42	0.9823439345609946	0.049197968516998244	1	1	0.6559729135599767	1
"mouth, nos"	"Bladder cancer"	6	1.3797387295081966	1.155167970445768	"BINOMIAL"	0.03285092213114754	42	0.9995951266071732	0.0023857578897294304	1	1	0.05384996379675	1
"ovary"	"Bladder cancer"	14	3.5029740505915417	1.7918737394782023	"BINOMIAL"	0.08340414406170338	42	0.9999992723097765	4.364635452785752E-6	1	1	3.404415653172886E-4	1
"pancreas"	"Bladder cancer"	1	1.0794445956983392	1.0255250964418632	"BINOMIAL"	0.02570106180234141	42	0.7061998295066446	0.6649777673366815	1	1	1	1
"prostate gland"	"Bladder cancer"	5	1.734922458357266	1.2896731527101182	"BINOMIAL"	0.04130767757993491	42	0.9927442029004512	0.028736387608328112	1	1	0.9195644034664996	1
"skin"	"Bladder cancer"	12	5.205348453433758	2.135465726623723	"BINOMIAL"	0.12393686793889899	42	0.9987520112931657	0.00399050677461413	1	1	0.01596202709845652	1
"stomach"	"Bladder cancer"	4	1.969764645249957	1.3701767555668685	"BINOMIAL"	0.046899158220237075	42	0.9542932119384814	0.1329804327541951	1	1	0.660746525247407	1
"testis"	"Bladder cancer"	11	3.9931633835457707	1.900924012792273	"BINOMIAL"	0.09507531865585168	42	0.9996060940743844	0.0015036730476529626	1	1	0.011954200728841052	1
"thyroid gland"	"Bladder cancer"	3	1.7632262635805385	1.2996935189442824	"BINOMIAL"	0.041981577704298535	42	0.9013390887334469	0.25813815210368224	1	1	1	1
"urinary bladder"	"Bladder cancer"	12	2.8030955428837427	1.6174102475914602	"BINOMIAL"	0.06674037006866054	42	0.9999978991943496	1.2975546080848663E-5	1	1	3.3952678911554004E-4	1
"adrenal cortex"	"Butanoate metabolism"	8	4.934709939491389	2.0486068127440253	"BINOMIAL"	0.1495366648330724	33	0.9513498312197561	0.10916904944591396	1	1	0.3424911355165928	1
"bones and joints"	"Butanoate metabolism"	3	3.134126413491078	1.6841815139117022	"BINOMIAL"	0.09497352768154782	33	0.6158562351910074	0.6183079922894319	1	1	1	1
"brain, nos"	"Butanoate metabolism"	1	3.2674649854017686	1.7157913368881301	"BINOMIAL"	0.09901409046672026	33	0.1482349672733037	0.9679598920127247	1	0.6975763165802527	1	1
"breast"	"Butanoate metabolism"	1	1.1868026009472585	1.0696358119620188	"BINOMIAL"	0.03596371518021996	33	0.6661868436627957	0.7014056729165633	1	1	1	1
"cervix uteri"	"Butanoate metabolism"	2	1.963271696356789	1.3588490029840916	"BINOMIAL"	0.05949308170778149	33	0.6870125497066705	0.5921059901169933	1	1	1	1
"colon, nos"	"Butanoate metabolism"	0	2.870828442059366	1.6189753834599072	"BINOMIAL"	0.08699480127452625	33	0.04961548772005035	1	1	0.661539836267338	1	1
"HR systems"	"Butanoate metabolism"	1	1.5542980777232254	1.2170007102716027	"BINOMIAL"	0.04709994174918865	33	0.535431562284467	0.7965008191536581	1	0.8317383491797545	1	1
"kidney"	"Butanoate metabolism"	0	2.692167731561799	1.572430737952191	"BINOMIAL"	0.08158084035035755	33	0.06030465840989165	1	1	0.9648745345582664	1	1
"liver"	"Butanoate metabolism"	14	3.422236392093212	1.7513812645478877	"BINOMIAL"	0.10370413309373369	33	0.9999997139461827	1.9878365421280985E-6	1	1	3.925977170702995E-5	1
"lung"	"Butanoate metabolism"	1	0.8015075376884422	0.8843305019557502	"BINOMIAL"	0.024288107202680067	33	0.8091559033798623	0.5557650200577098	1	1	1	1
"lymph nodes"	"Butanoate metabolism"	1	2.66115598182736	1.564147519206232	"BINOMIAL"	0.08064109035840485	33	0.24292283450522129	0.9376253753922693	1	0.8269713515071363	1	1
"mouth, nos"	"Butanoate metabolism"	1	1.0840804303278688	1.0239469656809708	"BINOMIAL"	0.03285092213114754	33	0.7043747216882095	0.6678892538193981	1	1	1	1
"ovary"	"Butanoate metabolism"	2	2.7523367540362114	1.5883263086961237	"BINOMIAL"	0.08340414406170338	33	0.4729659245108847	0.7739355898177271	1	1	1	1
"pancreas"	"Butanoate metabolism"	0	0.8481350394772665	0.9090308401869158	"BINOMIAL"	0.02570106180234141	33	0.4234903955300218	1	1	1	1	1
"prostate gland"	"Butanoate metabolism"	2	1.3631533601378518	1.143173066794907	"BINOMIAL"	0.04130767757993491	33	0.8456043850621227	0.39803764565429334	1	1	1	1
"skin"	"Butanoate metabolism"	3	4.089916641983667	1.8928880535427952	"BINOMIAL"	0.12393686793889899	33	0.40225794729835634	0.7938693449073062	1	1	1	1
"stomach"	"Butanoate metabolism"	2	1.5007730630475864	1.1959883234007964	"BINOMIAL"	0.046899158220237075	32	0.811762349307386	0.4464502119144806	1	1	1	1
"testis"	"Butanoate metabolism"	0	3.1374855156431054	1.6849890446128182	"BINOMIAL"	0.09507531865585168	33	0.03700073118671797	1	1	0.36769476616800983	1	1
"thyroid gland"	"Butanoate metabolism"	0	1.3853920642418516	1.1520551721362844	"BINOMIAL"	0.041981577704298535	33	0.2428496015298227	1	1	1	1	1
"urinary bladder"	"Butanoate metabolism"	4	2.2024322122657978	1.4336809517350921	"BINOMIAL"	0.06674037006866054	33	0.9340177362681452	0.17551955190325258	1	1	0.6262856738366058	1
"adrenal cortex"	"Calcium signaling pathway"	30	26.16891634578767	4.717595136628716	"BINOMIAL"	0.1495366648330724	175	0.8218792780669195	0.2362089211494462	1	1	0.5323017941395971	1
"bones and joints"	"Calcium signaling pathway"	16	15.480685012092295	3.743050860670614	"BINOMIAL"	0.09497352768154782	163	0.6200383490731615	0.48344265581585305	1	1	0.9794422637308192	1
"brain, nos"	"Calcium signaling pathway"	12	17.327465831676044	3.9511773640599164	"BINOMIAL"	0.09901409046672026	175	0.10692556162129689	0.9363274288226568	1	0.6110032092645536	1	1
"breast"	"Calcium signaling pathway"	3	6.293650156538493	2.4631904341452766	"BINOMIAL"	0.03596371518021996	175	0.12227154554070785	0.9527415733817668	1	1	1	1
"cervix uteri"	"Calcium signaling pathway"	2	10.41128929886176	3.1291995164772133	"BINOMIAL"	0.05949308170778149	175	0.0015908049452879101	0.9997369419266635	1	0.08484293041535522	1	1
"colon, nos"	"Calcium signaling pathway"	10	15.224090223042094	3.7282265917595576	"BINOMIAL"	0.08699480127452625	175	0.09750707039669373	0.945139461507359	1	0.8211121717616314	1	1
"HR systems"	"Calcium signaling pathway"	5	8.242489806108013	2.802546880316553	"BINOMIAL"	0.04709994174918865	175	0.16353405803648996	0.9185254021700104	1	0.7475842653096684	1	1
"kidney"	"Calcium signaling pathway"	15	14.276647061312572	3.6210421423486956	"BINOMIAL"	0.08158084035035755	175	0.6449736469783749	0.4600667494848261	1	1	0.9437266656098998	1
"liver"	"Calcium signaling pathway"	10	17.837110892122194	3.998415782551618	"BINOMIAL"	0.10370413309373369	172	0.026479739357003106	0.9871608404737188	1	0.5229748523008113	1	1
"lung"	"Calcium signaling pathway"	0	4.250418760469012	2.0364636343324323	"BINOMIAL"	0.024288107202680067	175	0.013529437773462789	1	1	1	1	1
"lymph nodes"	"Calcium signaling pathway"	6	14.112190812720849	3.601967290001004	"BINOMIAL"	0.08064109035840485	175	0.010721917311692543	0.9960637538806616	1	0.19061186331897853	1	1
"mouth, nos"	"Calcium signaling pathway"	1	5.617507684426229	2.330872664242734	"BINOMIAL"	0.03285092213114754	171	0.022512042177607227	0.9966934493901498	1	1	1	1
"ovary"	"Calcium signaling pathway"	13	13.59487548205765	3.530015089040158	"BINOMIAL"	0.08340414406170338	163	0.5051285168556864	0.6078338038499269	1	1	0.9296281705940058	1
"pancreas"	"Calcium signaling pathway"	2	4.446283691805064	2.0813479958553875	"BINOMIAL"	0.02570106180234141	173	0.17603645538799445	0.9384668142653583	1	1	1	1
"prostate gland"	"Calcium signaling pathway"	7	7.063612866168869	2.602274279038181	"BINOMIAL"	0.04130767757993491	171	0.58905615550681	0.5630445870597467	1	1	1	1
"skin"	"Calcium signaling pathway"	22	21.688951889307322	4.35900116119153	"BINOMIAL"	0.12393686793889899	175	0.5846358254283461	0.5057491335944898	1	1	0.7933319742658664	1
"stomach"	"Calcium signaling pathway"	4	7.597663631678406	2.6909737276517918	"BINOMIAL"	0.046899158220237075	162	0.11915358918877174	0.9484929743524619	1	1	1	1
"testis"	"Calcium signaling pathway"	8	15.687427578215528	3.7677500450966876	"BINOMIAL"	0.09507531865585168	165	0.021057828232574665	0.990750932933479	1	0.3348194688979372	1	1
"thyroid gland"	"Calcium signaling pathway"	13	7.010923476617855	2.591639220243692	"BINOMIAL"	0.041981577704298535	167	0.9888004643200821	0.02451232343842237	1	1	0.4902464687684474	1
"urinary bladder"	"Calcium signaling pathway"	4	10.878680321191668	3.186319690598651	"BINOMIAL"	0.06674037006866054	163	0.013933767089290313	0.995624650208429	1	0.36460023883642984	1	1
"adrenal cortex"	"Cardiac muscle contraction"	7	11.065713197647359	3.0677326076553446	"BINOMIAL"	0.1495366648330724	74	0.11888216671568219	0.9393723553272569	1	0.9057688892623406	1	1
"bones and joints"	"Cardiac muscle contraction"	4	5.888358716255965	2.308488795016936	"BINOMIAL"	0.09497352768154782	62	0.28718476516246855	0.8518995693814928	1	1	1	1
"brain, nos"	"Cardiac muscle contraction"	3	7.327042694537299	2.569350545629549	"BINOMIAL"	0.09901409046672026	74	0.05696623853988066	0.9813872410543227	1	0.4557299083190453	1	1
"breast"	"Cardiac muscle contraction"	2	2.6613149233362767	1.6017503399183477	"BINOMIAL"	0.03596371518021996	74	0.5001519515266312	0.7498693838189145	1	1	1	1
"cervix uteri"	"Cardiac muscle contraction"	1	4.40248804637583	2.0348391743121277	"BINOMIAL"	0.05949308170778149	74	0.060703029485268845	0.9893146784584815	1	0.6937489084030725	1	1
"colon, nos"	"Cardiac muscle contraction"	2	6.437615294314942	2.4243713063605092	"BINOMIAL"	0.08699480127452625	74	0.0387155241006185	0.9904308957978554	1	0.619448385609896	1	1
"HR systems"	"Cardiac muscle contraction"	1	3.48539568943996	1.8224252400289194	"BINOMIAL"	0.04709994174918865	74	0.1311212387415633	0.9718483302741232	1	0.6993132732883377	1	1
"kidney"	"Cardiac muscle contraction"	2	6.036982185926458	2.354671974186307	"BINOMIAL"	0.08158084035035755	74	0.053174237277800886	0.9860584691198159	1	1	1	1
"liver"	"Cardiac muscle contraction"	11	6.948176917280158	2.495520437402132	"BINOMIAL"	0.10370413309373369	67	0.9584120774472583	0.08327095497362402	1	1	0.24364464603393696	1
"lung"	"Cardiac muscle contraction"	3	1.7244556113902847	1.2971398724249341	"BINOMIAL"	0.024288107202680067	71	0.9055252708408008	0.2483270121545941	1	1	1	1
"lymph nodes"	"Cardiac muscle contraction"	7	5.967440686521958	2.342268080923215	"BINOMIAL"	0.08064109035840485	74	0.7545989933328223	0.3881478950158621	1	1	1	1
"mouth, nos"	"Cardiac muscle contraction"	2	2.1353099385245904	1.4370675133786353	"BINOMIAL"	0.03285092213114754	65	0.6395154688539885	0.6341651574886991	1	1	1	1
